,Falciparum_MSP_Variants,Falciparum_Nonspecific_Types,MSP1_Merozoite_Kill_Fraction,Max_Individual_Infections,Falciparum_PfEMP1_Variants,Antigen_Switch_Rate,Nonspecific_Antigenicity_Factor,joint_likelihood,sim_likelihood
1692,423.0,232.0,0.62,6.0,829.0,7.7e-08,0.51,26.82282642795918,24.564887351365556
1438,359.0,277.0,0.25,7.0,2422.0,3e-05,0.76,26.106336484720977,15.89295170866797
1268,317.0,78.0,0.86,6.0,1036.0,2.9e-07,0.26,23.804799957676245,24.3577308359894
350,88.0,185.0,0.6,10.0,5608.0,0.018,0.68,22.88163401227062,11.542402180521215
1232,308.0,307.0,0.66,9.0,2773.0,6.1e-07,0.73,22.576173685400228,2.466176727465246
469,118.0,106.0,0.49,11.0,9273.0,0.02,0.79,22.52496498350714,8.403974648540405
1690,422.0,373.0,0.56,10.0,2659.0,1.4e-05,0.74,22.072986425301774,6.6532314886895385
1977,494.0,19.0,0.79,8.0,3737.0,0.0012,0.32,20.55107330746128,14.95843996658698
1331,333.0,26.0,0.68,6.0,1452.0,1.9e-08,0.42,19.36652732303605,29.048092796746992
1739,434.0,196.0,0.15,11.0,7767.0,0.0038,0.98,19.226351393582277,-8.73099768625281
