,Falciparum_MSP_Variants_init,Falciparum_Nonspecific_Types_init,MSP1_Merozoite_Kill_Fraction_init,Max_Individual_Infections_init,Falciparum_PfEMP1_Variants_init,Antigen_Switch_Rate_init,Nonspecific_Antigenicity_Factor_init,Falciparum_MSP_Variants_optim,Falciparum_Nonspecific_Types_optim,MSP1_Merozoite_Kill_Fraction_optim,Max_Individual_Infections_optim,Falciparum_PfEMP1_Variants_optim,Antigen_Switch_Rate_optim,Nonspecific_Antigenicity_Factor_optim,loss,lr,stop_epoch,optimizer
109,28,18,0.8,8,3891,0.00057,0.85,28.0,18.0,0.4471587836742401,8.0,3891.0,0.05266262963414192,0.211599200963974,0.26626884937286377,0.1,139,adam
178,437,275,0.049,7,704,0.00032,0.72,437.0,275.0,0.5326375961303711,7.0,704.0,0.003916062880307436,0.4427332580089569,0.27221518754959106,0.1,118,adam
35,351,27,0.79,10,9831,0.00025,0.00000085,351.0,27.0,0.47131937742233276,10.0,9831.0,0.04008952155709267,0.6592750549316406,0.2740275263786316,0.1,108,adam
15,9,174,0.95,7,3545,0.12,0.0000000063,9.0,174.0,0.48631542921066284,7.0,3545.0,0.5767377018928528,0.2042388767004013,0.28407180309295654,0.1,154,adam
94,47,169,0.46,7,3056,0.000000073,0.000000016,47.0,169.0,0.8973034620285034,7.0,3056.0,0.618305504322052,9.999999717180685e-10,0.28431466221809387,0.1,144,adam
16,491,459,0.24,6,258,0.00000014,0.072,491.0,459.0,0.677090585231781,6.0,258.0,9.999999717180685e-10,0.45109739899635315,0.28587040305137634,0.1,113,adam
175,2,361,0.38,10,5703,0.44,0.00000011,2.0,361.0,0.8600987195968628,10.0,5703.0,0.9900000095367432,9.999999717180685e-10,0.28598958253860474,0.1,146,adam
132,20,422,0.6,7,1508,0.0000000012,0.18,20.0,422.0,0.5343148708343506,7.0,1508.0,9.999999717180685e-10,0.38117867708206177,0.28648000955581665,0.1,119,adam
29,25,374,0.74,8,5943,0.00025,0.13,25.0,374.0,0.9350298047065735,8.0,5943.0,0.6070235967636108,9.999999717180685e-10,0.2876012921333313,0.1,137,adam
163,353,136,0.77,6,6379,0.012,0.000024,353.0,136.0,1.0,6.0,6379.0,0.9900000095367432,0.8246055841445923,0.289000928401947,0.1,116,adam
31,3,89,0.69,7,5385,0.000000069,0.000021,3.0,89.0,0.7104046940803528,7.0,5385.0,0.6279264092445374,0.14346222579479218,0.2890225946903229,0.1,156,adam
97,35,152,0.92,6,5799,0.78,0.000063,35.0,152.0,0.777614176273346,6.0,5799.0,0.9900000095367432,0.3151343762874603,0.28984391689300537,0.1,112,adam
180,7,289,0.056,9,4403,0.0000000035,0.024,7.0,289.0,0.6122401356697083,9.0,4403.0,0.746378481388092,0.2274496853351593,0.2921214699745178,0.1,144,adam
167,12,328,0.71,8,6987,0.000000018,0.0047,12.0,328.0,0.9153715968132019,8.0,6987.0,0.5924426913261414,0.04434717074036598,0.29266834259033203,0.1,189,adam
44,15,294,0.31,7,4379,0.0000000022,0.000000012,15.0,294.0,0.7740777134895325,7.0,4379.0,0.41541415452957153,9.999999717180685e-10,0.29282286763191223,0.1,162,adam
101,92,67,0.45,9,7750,0.83,0.00043,92.0,67.0,0.9954444169998169,9.0,7750.0,0.9900000095367432,0.42347708344459534,0.2934236228466034,0.1,141,adam
9,94,341,0.33,10,1672,0.10,0.0014,94.0,341.0,0.009999999776482582,10.0,1672.0,0.2033083736896515,0.2308042347431183,0.2939836382865906,0.1,121,adam
124,419,223,0.59,7,4599,0.00000055,0.00023,419.0,223.0,1.0,7.0,4599.0,0.9900000095367432,0.6490280628204346,0.294155478477478,0.1,133,adam
89,367,309,0.67,6,5660,0.000000091,0.0000041,367.0,309.0,1.0,6.0,5660.0,0.9900000095367432,0.8269913792610168,0.2941555976867676,0.1,163,adam
88,82,60,0.14,9,7198,0.61,0.000017,82.0,60.0,0.8984405994415283,9.0,7198.0,0.9900000095367432,0.42779186367988586,0.29433855414390564,0.1,142,adam
106,185,4,0.16,9,2576,0.00000025,0.037,185.0,4.0,0.06779228895902634,9.0,2576.0,0.6652619242668152,0.36363014578819275,0.29530757665634155,0.1,115,adam
61,457,198,0.36,7,6253,0.0000084,0.0000016,457.0,198.0,1.0,7.0,6253.0,0.9900000095367432,0.865367591381073,0.29567718505859375,0.1,131,adam
154,194,269,0.036,7,2405,0.16,0.000000063,194.0,269.0,0.26268526911735535,7.0,2405.0,0.9557440280914307,0.300151526927948,0.2961081266403198,0.1,157,adam
84,407,230,0.78,7,128,0.0000032,0.033,407.0,230.0,0.8148752450942993,7.0,128.0,9.999999717180685e-10,0.35667017102241516,0.29770731925964355,0.1,132,adam
185,50,319,0.41,7,5964,0.000025,0.0000000019,50.0,319.0,0.8632851243019104,7.0,5964.0,0.9900000095367432,0.3613903224468231,0.2977665960788727,0.1,144,adam
73,73,97,0.94,11,3783,0.024,0.0000000039,73.0,97.0,0.20574277639389038,11.0,3783.0,0.2238335907459259,0.3768885135650635,0.2980857193470001,0.1,148,adam
98,447,196,0.95,6,2923,0.00000059,0.0000021,447.0,196.0,0.9562710523605347,6.0,2923.0,0.7342625260353088,0.341878205537796,0.29832854866981506,0.1,134,adam
17,446,69,0.5,8,3396,0.057,0.00075,446.0,69.0,1.0,8.0,3396.0,0.9680664539337158,0.4168553948402405,0.2983546257019043,0.1,147,adam
157,427,122,0.69,11,5260,0.26,0.046,427.0,122.0,0.6759986877441406,11.0,5260.0,0.9900000095367432,0.7418089509010315,0.2985699772834778,0.1,118,adam
87,229,248,1.,9,5052,0.0017,0.22,229.0,248.0,1.0,9.0,5052.0,0.9900000095367432,0.6226515769958496,0.2987232506275177,0.1,149,adam
