,Falciparum_MSP_Variants_init,Falciparum_Nonspecific_Types_init,MSP1_Merozoite_Kill_Fraction_init,Max_Individual_Infections_init,Falciparum_PfEMP1_Variants_init,Antigen_Switch_Rate_init,Nonspecific_Antigenicity_Factor_init,Falciparum_MSP_Variants_optim,Falciparum_Nonspecific_Types_optim,MSP1_Merozoite_Kill_Fraction_optim,Max_Individual_Infections_optim,Falciparum_PfEMP1_Variants_optim,Antigen_Switch_Rate_optim,Nonspecific_Antigenicity_Factor_optim,loss,lr,stop_epoch,optimizer
109,28,18,0.8,8,3891,0.00057,0.85,28.0,18.0,0.42943140864372253,8.0,3504.0,0.05702153220772743,0.19047151505947113,0.2688717544078827,0.1,175,adamW
178,437,275,0.049,7,704,0.00032,0.72,432.0,275.0,0.5659711360931396,7.0,604.0,0.004048669710755348,0.4576541483402252,0.2695034444332123,0.1,150,adamW
35,351,27,0.79,10,9831,0.00025,0.00000085,351.0,27.0,0.3686791658401489,10.0,8886.0,0.028482243418693542,0.6400764584541321,0.2804684638977051,0.1,119,adamW
103,200,85,0.28,8,2345,0.31,0.0000026,200.0,85.0,0.837555468082428,8.0,2145.0,9.999999717180685e-10,0.432284414768219,0.28264176845550537,0.1,133,adamW
46,264,73,0.87,8,2518,0.34,0.00017,264.0,73.0,0.7053852677345276,8.0,2311.0,0.004549267236143351,0.49456748366355896,0.28385254740715027,0.1,135,adamW
16,491,459,0.24,6,258,0.00000014,0.072,484.0,459.0,0.6795567274093628,6.0,258.0,9.999999717180685e-10,0.4559381902217865,0.2852782905101776,0.1,113,adamW
94,47,169,0.46,7,3056,0.000000073,0.000000016,47.0,169.0,0.8431077003479004,7.0,2756.0,0.5155996084213257,9.999999717180685e-10,0.2867322564125061,0.1,153,adamW
163,353,136,0.77,6,6379,0.012,0.000024,353.0,136.0,1.0,6.0,5718.0,0.9900000095367432,0.7812898755073547,0.28687334060668945,0.1,160,adamW
29,25,374,0.74,8,5943,0.00025,0.13,25.0,374.0,0.891127347946167,8.0,5339.0,0.5916152596473694,9.999999717180685e-10,0.2869570255279541,0.1,127,adamW
175,2,361,0.38,10,5703,0.44,0.00000011,2.0,361.0,0.8308008313179016,10.0,5149.0,0.9900000095367432,9.999999717180685e-10,0.287341445684433,0.1,113,adamW
31,3,89,0.69,7,5385,0.000000069,0.000021,3.0,89.0,0.6207602620124817,7.0,4885.0,0.5976408123970032,0.2011794149875641,0.2873471677303314,0.1,113,adamW
15,9,174,0.95,7,3545,0.12,0.0000000063,9.0,174.0,0.466108113527298,7.0,3226.0,0.6134915351867676,0.19925068318843842,0.28900229930877686,0.1,168,adamW
180,7,289,0.056,9,4403,0.0000000035,0.024,7.0,289.0,0.5956861972808838,9.0,4003.0,0.8114123940467834,0.226352721452713,0.2893884778022766,0.1,168,adamW
44,15,294,0.31,7,4379,0.0000000022,0.000000012,15.0,294.0,0.7105785012245178,7.0,3979.0,0.39804354310035706,9.999999717180685e-10,0.28991416096687317,0.1,143,adamW
97,35,152,0.92,6,5799,0.78,0.000063,35.0,152.0,0.7421324849128723,6.0,5210.0,0.9535450339317322,0.31741783022880554,0.2912164330482483,0.1,141,adamW
161,246,188,0.65,7,6800,0.015,0.0088,246.0,188.0,0.9922103881835938,7.0,6135.0,0.9900000095367432,0.7310556769371033,0.2923610508441925,0.1,116,adamW
18,297,492,0.75,6,2771,0.15,0.0000000055,297.0,429.0,0.2496534138917923,6.0,2488.0,0.9900000095367432,0.29069745540618896,0.29252275824546814,0.1,117,adamW
118,357,33,0.50,7,2738,0.000093,0.00000059,357.0,33.0,1.0,7.0,2453.0,0.8726049661636353,0.308458149433136,0.2939707636833191,0.1,129,adamW
84,407,230,0.78,7,128,0.0000032,0.033,407.0,230.0,0.7914186716079712,7.0,128.0,9.999999717180685e-10,0.3309791088104248,0.2943752110004425,0.1,117,adamW
89,367,309,0.67,6,5660,0.000000091,0.0000041,367.0,309.0,1.0,6.0,5069.0,0.9900000095367432,0.7664603590965271,0.2943989336490631,0.1,163,adamW
101,92,67,0.45,9,7750,0.83,0.00043,92.0,67.0,1.0,9.0,6972.0,0.9900000095367432,0.4312880039215088,0.29491302371025085,0.1,143,adamW
73,73,97,0.94,11,3783,0.024,0.0000000039,73.0,97.0,0.20138055086135864,11.0,3401.0,0.2623862624168396,0.3496995270252228,0.2949526906013489,0.1,137,adamW
185,50,319,0.41,7,5964,0.000025,0.0000000019,50.0,319.0,0.9879019260406494,7.0,5344.0,0.9900000095367432,0.06108889356255531,0.2951788902282715,0.1,140,adamW
179,63,315,0.63,8,9662,0.0028,0.024,63.0,315.0,0.8708083033561707,8.0,8696.0,0.9900000095367432,0.3909800946712494,0.2955643832683563,0.1,149,adamW
