,Falciparum_MSP_Variants_init,Falciparum_Nonspecific_Types_init,MSP1_Merozoite_Kill_Fraction_init,Max_Individual_Infections_init,Falciparum_PfEMP1_Variants_init,Antigen_Switch_Rate_init,Nonspecific_Antigenicity_Factor_init,Falciparum_MSP_Variants_optim,Falciparum_Nonspecific_Types_optim,MSP1_Merozoite_Kill_Fraction_optim,Max_Individual_Infections_optim,Falciparum_PfEMP1_Variants_optim,Antigen_Switch_Rate_optim,Nonspecific_Antigenicity_Factor_optim,loss,lr,stop_epoch,optimizer
109,28,18,0.8,8,3891,0.00057,0.85,28.0,18.0,0.4521559178829193,8.0,3891.0,0.053034037351608276,0.21022823452949524,0.26660141348838806,0.1,145,adamax
178,437,275,0.049,7,704,0.00032,0.72,437.0,275.0,0.5267398357391357,7.0,704.0,0.004668734967708588,0.4561895430088043,0.27038073539733887,0.1,144,adamax
35,351,27,0.79,10,9831,0.00025,0.00000085,351.0,27.0,0.5733986496925354,10.0,9831.0,0.03899732232093811,0.659344494342804,0.27411672472953796,0.1,137,adamax
46,264,73,0.87,8,2518,0.34,0.00017,264.0,73.0,0.9794612526893616,8.0,2518.0,0.0053427210077643394,0.4459247589111328,0.27989310026168823,0.1,146,adamax
15,9,174,0.95,7,3545,0.12,0.0000000063,9.0,174.0,0.6662684082984924,7.0,3545.0,0.390999972820282,0.02824525535106659,0.2840286195278168,0.1,138,adamax
16,491,459,0.24,6,258,0.00000014,0.072,491.0,459.0,0.7176406383514404,6.0,258.0,9.999999717180685e-10,0.4341156780719757,0.2861148416996002,0.1,178,adamax
32,51,210,0.13,10,2872,0.0013,0.000012,51.0,210.0,0.071167953312397,10.0,2872.0,0.31120967864990234,0.3438866138458252,0.2897995710372925,0.1,129,adamax
97,35,152,0.92,6,5799,0.78,0.000063,35.0,152.0,0.7768362164497375,6.0,5799.0,0.9900000095367432,0.31550395488739014,0.2898372411727905,0.1,133,adamax
175,2,361,0.38,10,5703,0.44,0.00000011,2.0,361.0,0.6734967827796936,10.0,5703.0,0.8085150122642517,0.16200046241283417,0.29163071513175964,0.1,114,adamax
94,47,169,0.46,7,3056,0.000000073,0.000000016,47.0,169.0,0.8058076500892639,7.0,3056.0,0.3116966485977173,0.07851585000753403,0.2941286861896515,0.1,108,adamax
88,82,60,0.14,9,7198,0.61,0.000017,82.0,60.0,0.8984775543212891,9.0,7198.0,0.9900000095367432,0.42770928144454956,0.2943029999732971,0.1,148,adamax
84,407,230,0.78,7,128,0.0000032,0.033,407.0,230.0,0.8391849398612976,7.0,128.0,9.999999717180685e-10,0.32298997044563293,0.2952074408531189,0.1,122,adamax
79,90,217,0.47,11,1986,0.0000075,0.000000036,90.0,217.0,0.08756737411022186,11.0,1986.0,0.33023256063461304,0.23794303834438324,0.2953921854496002,0.1,118,adamax
182,77,322,0.25,8,7345,0.0000000042,0.000000075,77.0,322.0,0.9754465222358704,8.0,7345.0,0.9900000095367432,0.28635522723197937,0.2957630157470703,0.1,157,adamax
31,3,89,0.69,7,5385,0.000000069,0.000021,3.0,89.0,0.6355488896369934,7.0,5385.0,0.3298649787902832,0.14813703298568726,0.29657402634620667,0.1,134,adamax
73,73,97,0.94,11,3783,0.024,0.0000000039,73.0,97.0,0.2184591144323349,11.0,3783.0,0.2178783118724823,0.372998982667923,0.29799172282218933,0.1,112,adamax
157,427,122,0.69,11,5260,0.26,0.046,427.0,122.0,0.6780085563659668,11.0,5260.0,0.9900000095367432,0.74119633436203,0.2985691428184509,0.1,126,adamax
29,25,374,0.74,8,5943,0.00025,0.13,25.0,374.0,0.9885139465332031,8.0,5943.0,0.36458703875541687,9.999999717180685e-10,0.2994286119937897,0.1,114,adamax
108,395,207,0.91,8,1627,0.00000017,0.15,395.0,207.0,1.0,8.0,1627.0,0.297768235206604,0.11010485142469406,0.29951050877571106,0.1,125,adamax
103,200,85,0.28,8,2345,0.31,0.0000026,200.0,85.0,0.6838704347610474,8.0,2345.0,0.05828162282705307,0.3297100365161896,0.2995501160621643,0.1,140,adamax
161,246,188,0.65,7,6800,0.015,0.0088,246.0,188.0,1.0,7.0,6800.0,0.9900000095367432,0.7714845538139343,0.2997031807899475,0.1,114,adamax
154,194,269,0.036,7,2405,0.16,0.000000063,194.0,269.0,0.40599536895751953,7.0,2405.0,0.8470654487609863,0.2657184302806854,0.3015773892402649,0.1,141,adamax
180,7,289,0.056,9,4403,0.0000000035,0.024,7.0,289.0,0.611392617225647,9.0,4403.0,0.3885854184627533,0.07087656855583191,0.3026703894138336,0.1,133,adamax
190,186,299,0.66,10,4102,0.40,0.000011,186.0,299.0,1.0,10.0,4102.0,0.9900000095367432,0.5216724872589111,0.30491235852241516,0.1,132,adamax
106,185,4,0.16,9,2576,0.00000025,0.037,185.0,4.0,0.21532391011714935,9.0,2576.0,0.3015364408493042,0.33121663331985474,0.3054780662059784,0.1,116,adamax
9,94,341,0.33,10,1672,0.10,0.0014,94.0,341.0,0.851427435874939,10.0,1672.0,0.9900000095367432,0.018069809302687645,0.30591100454330444,0.1,118,adamax
18,297,492,0.75,6,2771,0.15,0.0000000055,297.0,492.0,0.6942967176437378,6.0,2771.0,0.9900000095367432,0.3263205885887146,0.3062981367111206,0.1,131,adamax
75,168,138,0.60,9,2212,0.0000000046,0.000014,168.0,138.0,0.251194030046463,9.0,2212.0,0.2933436930179596,0.26920560002326965,0.30657559633255005,0.1,144,adamax
144,44,19,0.34,7,6020,0.22,0.28,44.0,19.0,0.3152450621128082,7.0,6020.0,0.15520992875099182,0.4157448410987854,0.3067954182624817,0.1,135,adamax
173,59,42,0.053,9,5236,0.00048,0.00019,59.0,42.0,0.4513387680053711,9.0,5236.0,0.23704862594604492,0.3927798271179199,0.30693408846855164,0.1,119,adamax
98,447,196,0.95,6,2923,0.00000059,0.0000021,447.0,196.0,0.9868081212043762,6.0,2923.0,0.4437864124774933,0.3456735908985138,0.3077101707458496,0.1,109,adamax
55,16,322,0.82,8,1744,0.000011,0.0000090,16.0,322.0,0.5056418180465698,8.0,1744.0,0.018175611272454262,0.016395868733525276,0.3077424168586731,0.1,164,adamax
111,36,395,0.29,11,2987,0.005,0.00000071,36.0,395.0,0.009999999776482582,11.0,2987.0,0.2979164123535156,0.4149887263774872,0.3078114688396454,0.1,112,adamax
36,75,267,0.83,10,1413,0.000030,0.99,75.0,267.0,0.5726332068443298,10.0,1413.0,9.999999717180685e-10,0.2827523350715637,0.3080156445503235,0.1,130,adamax
167,12,328,0.71,8,6987,0.000000018,0.0047,12.0,328.0,0.856823742389679,8.0,6987.0,0.30544838309288025,0.05537455901503563,0.3084697425365448,0.1,144,adamax
119,336,144,0.56,8,1862,0.00073,0.0000070,336.0,144.0,0.9760803580284119,8.0,1862.0,0.31323230266571045,0.12549635767936707,0.3085656762123108,0.1,110,adamax
26,476,440,0.85,7,6117,0.00000019,0.00014,476.0,440.0,1.0,7.0,6117.0,0.9900000095367432,0.85289067029953,0.3096487522125244,0.1,151,adamax
17,446,69,0.5,8,3396,0.057,0.00075,446.0,69.0,1.0,8.0,3396.0,0.5222964286804199,0.44288262724876404,0.31132400035858154,0.1,138,adamax
102,210,333,0.23,7,6445,0.000000011,0.0000012,210.0,333.0,1.0,7.0,6445.0,0.9900000095367432,0.7310026288032532,0.3114543557167053,0.1,157,adamax
118,357,33,0.50,7,2738,0.000093,0.00000059,357.0,33.0,0.7976455092430115,7.0,2738.0,0.42480921745300293,0.3473154604434967,0.3128487467765808,0.1,109,adamax
53,376,164,0.61,6,2392,0.0000072,0.00092,376.0,164.0,0.9957599639892578,6.0,2392.0,0.2913362979888916,0.2710677981376648,0.3137907087802887,0.1,117,adamax
138,122,146,0.92,11,4240,0.00000015,0.0000000012,122.0,146.0,0.6806676387786865,11.0,4240.0,0.2772520184516907,0.3410223126411438,0.31592774391174316,0.1,145,adamax
86,96,442,0.72,6,761,0.03,0.0000000026,96.0,442.0,0.31427308917045593,6.0,761.0,0.000583726039621979,0.32737231254577637,0.3162001967430115,0.1,115,adamax
137,324,184,0.39,11,1594,0.087,0.00000023,324.0,184.0,0.7288088798522949,11.0,1594.0,0.5484200716018677,0.1712917685508728,0.3183562755584717,0.1,121,adamax
44,15,294,0.31,7,4379,0.0000000022,0.000000012,15.0,294.0,0.511777937412262,7.0,4379.0,0.15008969604969025,0.1994578242301941,0.3186934292316437,0.1,111,adamax
163,353,136,0.77,6,6379,0.012,0.000024,353.0,136.0,0.911246120929718,6.0,6379.0,0.5947690010070801,0.7145054936408997,0.31909817457199097,0.1,158,adamax
168,459,237,0.89,10,1340,0.0000000024,0.0000000017,459.0,237.0,1.0,10.0,1340.0,0.31099921464920044,0.10241366177797318,0.3195454180240631,0.1,110,adamax
13,221,49,0.98,8,5035,0.0000013,0.0000002,221.0,49.0,0.2271941900253296,8.0,5035.0,0.2595534026622772,0.5392313599586487,0.3199523091316223,0.1,157,adamax
