,Falciparum_MSP_Variants_init,Falciparum_Nonspecific_Types_init,MSP1_Merozoite_Kill_Fraction_init,Max_Individual_Infections_init,Falciparum_PfEMP1_Variants_init,Antigen_Switch_Rate_init,Nonspecific_Antigenicity_Factor_init,Falciparum_MSP_Variants_optim,Falciparum_Nonspecific_Types_optim,MSP1_Merozoite_Kill_Fraction_optim,Max_Individual_Infections_optim,Falciparum_PfEMP1_Variants_optim,Antigen_Switch_Rate_optim,Nonspecific_Antigenicity_Factor_optim,loss,lr,stop_epoch,optimizer,ll
0,95,3,0.69,10,1159,1.6e-05,0.5,95.0,3.0,0.8066789507865906,10.0,1160.0,9.999999717180683e-10,0.2639922797679901,0.2336015552282333,0.5,162,adam,25.91829252454528
1,293,71,0.38,9,2131,0.047,8.3e-09,293.0,71.0,0.9758252501487732,9.0,2130.0,0.0872321873903274,0.3375393450260162,0.2717457413673401,0.5,201,adam,25.460146518243693
2,43,230,0.66,8,2418,1.7e-09,0.0033,42.0,230.0,0.5353029370307922,8.0,2418.0,0.4233804047107696,0.2236379086971283,0.2723942399024963,0.5,195,adam,23.346226978463825
3,381,125,0.84,10,1907,0.0024,7.7e-06,381.0,125.0,0.5947415232658386,10.0,1906.0,0.38752081990242,0.4022489488124847,0.273044615983963,0.5,207,adam,23.50292193395406
4,194,214,0.58,8,2275,5e-07,2.5e-05,194.0,214.0,0.3407396972179413,8.0,2274.0,0.7763499021530151,0.4701588153839111,0.2795426845550537,0.5,145,adam,24.93674707155222
5,304,339,0.94,10,2042,0.0053,1.2e-05,304.0,339.0,0.0099999997764825,10.0,2042.0,0.2160564512014389,0.5614572167396545,0.281415045261383,0.5,162,adam,24.81543265714432
6,376,444,0.11,9,1773,4.1e-09,8.2e-07,376.0,444.0,0.33809494972229,9.0,1772.0,0.2862579822540283,0.5948771834373474,0.2825245261192322,0.5,120,adam,22.822160344565805
7,321,369,0.14,9,1615,0.0031,0.042,321.0,369.0,0.1847297102212906,8.0,1614.0,0.4768339097499847,0.4948708713054657,0.2836920022964477,0.5,165,adam,21.76968791384942
8,364,31,0.96,8,2821,1.4e-06,0.00022,364.0,31.0,0.2776485383510589,8.0,2820.0,0.8034774661064148,0.5828263163566589,0.2850105762481689,0.5,164,adam,25.000320995235164
9,120,467,0.94,11,2907,0.0008,6.3e-06,120.0,467.0,0.1059291660785675,11.0,2906.0,0.9601339101791382,0.6534519791603088,0.2856340110301971,0.5,124,adam,26.013470200168047
10,25,96,0.43,9,4955,0.01,0.00038,25.0,96.0,0.0819392874836921,10.0,4954.0,0.9900000095367432,0.5543803572654724,0.2863960862159729,0.5,191,adam,25.94166698016706
11,269,104,0.049,9,2626,7.2e-09,0.1,269.0,104.0,0.3018641769886017,8.0,2626.0,0.8969889879226685,0.551963746547699,0.2865803837776184,0.5,172,adam,25.709023581085436
