,Falciparum_MSP_Variants,Falciparum_Nonspecific_Types,MSP1_Merozoite_Kill_Fraction,Max_Individual_Infections,Falciparum_PfEMP1_Variants,Antigen_Switch_Rate,Nonspecific_Antigenicity_Factor,joint_likelihood,sim_likelihood
615,154.0,305.0,0.83,9.0,3561.0,0.18,0.46,21.648940382332874,31.037782502882028
1331,333.0,26.0,0.68,6.0,1452.0,1.9e-08,0.42,17.369816211086302,29.048092796746992
973,243.0,439.0,0.57,6.0,957.0,0.00039,0.87,19.760010106110805,28.584248922442736
1692,423.0,232.0,0.62,6.0,829.0,7.7e-08,0.51,16.12314514661861,24.564887351365556
1268,317.0,78.0,0.86,6.0,1036.0,2.9e-07,0.26,14.233344575234735,24.3577308359894
1811,452.0,179.0,0.89,7.0,2199.0,0.025,0.47,16.74611722548217,22.366261692972653
1183,296.0,31.0,0.98,6.0,3824.0,3.3e-09,0.7,18.67835453160834,20.467414018720664
67,17.0,254.0,0.81,6.0,2173.0,3.6e-07,0.94,-9.855402402540381,19.306765900736057
795,199.0,210.0,0.21,10.0,7752.0,0.43,0.72,13.853738998710622,19.05132286975315
1752,438.0,64.0,0.38,9.0,3132.0,0.5,0.47,18.62454889584115,18.098382890150827
